"id","name","updated_at","created_at","lookup_name","aliases","logo_url","ticker_symbol","website_url","pixel_placed_at","series_id"
"15701ef0-258d-11ee-8a24-9de9429d6bea","Sweet Deals","2023-07-18 17:03:57.552874+00","2023-07-18 17:03:57.552874+00","sweetdeals",NULL,NULL,NULL,NULL,NULL,NULL
"07878170-260f-11ee-a6d1-7ba783a8d9e8","Condor","2023-07-19 08:34:08.782335+00","2023-07-19 08:34:08.782335+00","condor",NULL,NULL,NULL,NULL,NULL,NULL
"a094d3c0-263e-11ee-b200-d9eb00b0cc51","Tim's coffee","2023-07-19 14:14:51.90449+00","2023-07-19 14:14:51.90449+00","timscoffee",NULL,NULL,NULL,NULL,NULL,NULL
"e33deab0-25dd-11ee-b214-61b73dfddb71"," Gerald Formulas.","2023-07-19 02:42:22.561802+00","2023-07-19 02:42:22.561802+00","geraldformulas",NULL,NULL,NULL,NULL,NULL,NULL
"a4480dd0-25e8-11ee-9c98-29355e3b5d54","Balanced Nutrition By Milk","2023-07-19 03:59:21.39476+00","2023-07-19 03:59:21.39476+00","balancednutritionbymilk",NULL,NULL,NULL,NULL,NULL,NULL
"e3da1820-2634-11ee-98ce-97658d41d706","CVG Airport Fly","2023-07-19 13:05:09.80111+00","2023-07-19 13:05:09.80111+00","cvgairportfly",NULL,NULL,NULL,NULL,NULL,NULL
"de29d670-2596-11ee-9808-0ff57aea1304","Eric's Family Barbecue","2023-07-18 18:13:59.773597+00","2023-07-18 18:13:59.773597+00","ericsfamilybarbecue",NULL,NULL,NULL,NULL,NULL,NULL
"729d8af0-259b-11ee-9c59-05d385c8a703","Action Rideshop","2023-07-18 18:46:46.825011+00","2023-07-18 18:46:46.825011+00","actionrideshop",NULL,NULL,NULL,NULL,NULL,NULL
"0a98d260-260a-11ee-bf00-1586a4620d2c","Haunted Mansion","2023-07-19 07:58:26.446087+00","2023-07-19 07:58:26.446087+00","hauntedmansion",NULL,NULL,NULL,NULL,NULL,NULL
"55270cd0-25cd-11ee-9fd5-979549fa42f0","Ultimate basketbal","2023-07-19 00:43:52.228813+00","2023-07-19 00:43:52.228813+00","ultimatebasketbal",NULL,NULL,NULL,NULL,NULL,NULL
"974dba00-2640-11ee-845c-79674410fc3e","Paschal Air, Plumbing, Electric","2023-07-19 14:28:55.335076+00","2023-07-19 14:28:55.335076+00","paschalairplumbingelectric",NULL,NULL,NULL,NULL,NULL,NULL
"988ca2a0-2640-11ee-845c-79674410fc3e","Rack of Lamb","2023-07-19 14:28:57.419197+00","2023-07-19 14:28:57.419197+00","rackoflamb",NULL,NULL,NULL,NULL,NULL,NULL
"1cfd3f80-2642-11ee-9f80-21bb1f658236","James Hardie","2023-07-19 14:39:49.126283+00","2023-07-19 14:39:49.126283+00","jameshardie",NULL,NULL,NULL,NULL,NULL,NULL
"48a3f620-2678-11ee-87fe-d7c2647d684d","McLarty Daniel","2023-07-19 21:07:35.172017+00","2023-07-19 21:07:35.172017+00","mclartydaniel",NULL,NULL,NULL,NULL,NULL,NULL
"604234c0-2643-11ee-96cd-7d6016eaa643","Katos Coffee","2023-07-19 14:48:51.473586+00","2023-07-19 14:48:51.473586+00","katoscoffee",NULL,NULL,NULL,NULL,NULL,NULL
"390ec4f0-2809-11ee-9a44-67dd30c48678","Crabtree RV Center","2023-07-21 20:57:37.221246+00","2023-07-21 20:57:37.221246+00","crabtreervcenter",NULL,NULL,NULL,NULL,NULL,NULL
"197ae9b0-27ba-11ee-aaeb-5702a9a89b30","Foundation by Isaac Asimov","2023-07-21 11:31:13.996041+00","2023-07-21 11:31:13.996041+00","foundationbyisaacasimov",NULL,NULL,NULL,NULL,NULL,NULL
"f7a5cd30-27bb-11ee-8f5e-c9e93cf5aa1c","Fit And Fresh Lunch Bag","2023-07-21 11:44:36.236338+00","2023-07-21 11:44:36.236338+00","fitandfreshlunchbag",NULL,NULL,NULL,NULL,NULL,NULL
"403df0d0-282b-11ee-8c71-af0d3a0766e0","Discover Pacifico Beer","2023-07-22 01:01:12.158859+00","2023-07-22 01:01:12.158859+00","discoverpacificobeer",NULL,NULL,NULL,NULL,NULL,NULL
"5224b3c0-2645-11ee-8e92-83f4fee896fd","PODCAST CAMP","2023-07-19 15:02:46.785334+00","2023-07-19 15:02:46.785334+00","podcastcamp",NULL,NULL,NULL,NULL,NULL,NULL
"9b9152f0-2647-11ee-8e92-83f4fee896fd","Einstein Cares.com","2023-07-19 15:19:08.968295+00","2023-07-19 15:19:08.968295+00","einsteincarescom",NULL,NULL,NULL,NULL,NULL,NULL
"601c3c90-264b-11ee-be32-c16606e0f9d0","L'Oreal Paris","2023-07-19 15:46:07.21011+00","2023-07-19 15:46:07.21011+00","lorealparis",NULL,NULL,NULL,NULL,NULL,NULL
"1f4ecbf0-29f8-11ee-81aa-93837a349718","Tiffany Napper","2023-07-24 08:00:14.901859+00","2023-07-24 08:00:14.901859+00","tiffanynapper",NULL,NULL,NULL,NULL,NULL,NULL
"b5f9dd50-2850-11ee-9795-c50e28a09b75","Everything's Fair Game ","2023-07-22 05:29:21.070818+00","2023-07-22 05:29:21.070818+00","everythingsfairgame",NULL,NULL,NULL,NULL,NULL,NULL
"2c3dfa90-278f-11ee-bc2f-9500531a7129"," State & Liberty Clothing","2023-07-21 06:23:57.113166+00","2023-07-21 06:23:57.113166+00","statelibertyclothing",NULL,NULL,NULL,NULL,NULL,NULL
"1dbd6570-27a6-11ee-bcb3-41fd200b9de1","The Real Me: Brian Smith ","2023-07-21 09:08:11.210991+00","2023-07-21 09:08:11.210991+00","therealmebriansmith",NULL,NULL,NULL,NULL,NULL,NULL
"9668a0e0-2853-11ee-be45-7bee3faef2aa","Bradley Smokers","2023-07-22 05:49:56.594919+00","2023-07-22 05:49:56.594919+00","bradleysmokers",NULL,NULL,NULL,NULL,NULL,NULL
"40cc78a0-2a01-11ee-855c-bbac97d520c9","Inflection Point Partners","2023-07-24 09:05:36.561237+00","2023-07-24 09:05:36.561237+00","inflectionpointpartners",NULL,NULL,NULL,NULL,NULL,NULL
"88a9bfb0-29cb-11ee-9558-99d01f3a4aca","The Race","2023-07-24 02:41:04.309544+00","2023-07-24 02:41:04.309544+00","therace",NULL,NULL,NULL,NULL,NULL,NULL
"b7dc2550-2ad6-11ee-9847-77f6240e4a9c","Beyond The Stars","2023-07-25 10:33:39.11734+00","2023-07-25 10:33:39.11734+00","beyondthestars",NULL,NULL,NULL,NULL,NULL,NULL
"eac39a40-2a4d-11ee-8b81-afc5b52ad8b7","Flipper Zero","2023-07-24 18:14:23.465241+00","2023-07-24 18:14:23.465241+00","flipperzero",NULL,NULL,NULL,NULL,NULL,NULL
"35c865a0-2a50-11ee-b683-8916eaf72d82","Gimme the HAWGS Chuck Podcast","2023-07-24 18:30:48.320966+00","2023-07-24 18:30:48.320966+00","gimmethehawgschuckpodcast",NULL,NULL,NULL,NULL,NULL,NULL
"2fee7240-2a6a-11ee-b578-cdf2aa306ec9","thisleague UNCUT","2023-07-24 21:36:45.425249+00","2023-07-24 21:36:45.425249+00","thisleagueuncut",NULL,NULL,NULL,NULL,NULL,NULL
"053e1cc0-2ae8-11ee-bc5d-037283b4d427","RHIZAL","2023-07-25 12:37:30.425223+00","2023-07-25 12:37:30.425223+00","rhizal",NULL,NULL,NULL,NULL,NULL,NULL
"e53390d0-2b1a-11ee-8b21-7763f5233b6a","PPV.COM","2023-07-25 18:41:40.96529+00","2023-07-25 18:41:40.96529+00","ppvcom",NULL,NULL,NULL,NULL,NULL,NULL
"806f5eb0-2b04-11ee-a282-15fd2eb78b49","Bradham Brothers","2023-07-25 16:01:22.975299+00","2023-07-25 16:01:22.975299+00","bradhambrothers",NULL,NULL,NULL,NULL,NULL,NULL
"01085be0-2ba4-11ee-861d-110b23209b7f","Twisted Metal","2023-07-26 11:03:08.711759+00","2023-07-26 11:03:08.711759+00","twistedmetal",NULL,NULL,NULL,NULL,NULL,NULL
"f31bf480-321d-11ee-8e96-07c05133140b","Meeker Parenting","2023-08-03 16:51:10.930932+00","2023-08-03 16:51:10.930932+00","meekerparenting",NULL,NULL,NULL,NULL,NULL,NULL
"915095d0-3682-11ee-922a-fd56cdd4eef1","Life. Money. You.","2023-08-09 07:01:30.675502+00","2023-08-09 07:01:30.675502+00","lifemoneyyou",NULL,NULL,NULL,NULL,NULL,NULL
"118afb70-260f-11ee-aaef-61825a586154","The Girlfriends","2023-07-19 08:34:25.584473+00","2023-07-19 08:34:25.584473+00","thegirlfriends",NULL,NULL,NULL,NULL,NULL,NULL
"1c5eef90-2635-11ee-b6d8-11dd6c371115","CVG Airport Fly Healthy","2023-07-19 13:06:44.631911+00","2023-07-19 13:06:44.631911+00","cvgairportflyhealthy",NULL,NULL,NULL,NULL,NULL,NULL
"db66e4a0-2640-11ee-ba81-738d316757ae","Sound and Communications","2023-07-19 14:30:49.584624+00","2023-07-19 14:30:49.584624+00","soundandcommunications",NULL,NULL,NULL,NULL,NULL,NULL
"d5be59b5-a5e0-445e-b537-8dc7dcab7f1f","FX AHS S12","2023-07-19 21:09:02.664636+00","2023-07-19 21:09:02.664708+00","fxahss12",NULL,NULL,NULL,NULL,NULL,NULL
"a6020a20-45b6-11ee-b05c-07382e8ac9ad","Santander Cycle","2023-08-28 15:22:06.666404+00","2023-08-28 15:22:06.666404+00","santandercycle",NULL,NULL,NULL,NULL,NULL,NULL
"e41474c0-45bf-11ee-8a1c-358745ffce3c","Extra Refreshers Gum","2023-08-28 16:28:16.277319+00","2023-08-28 16:28:16.277319+00","extrarefreshersgum",NULL,NULL,NULL,NULL,NULL,NULL
"b84bad00-324a-11ee-9651-39d8b1635135","Schwarzman Scholars","2023-08-03 22:11:39.608831+00","2023-08-03 22:11:39.608831+00","schwarzmanscholars",NULL,NULL,NULL,NULL,NULL,NULL
"036e7060-45c4-11ee-b4ec-0986a72c073b"," Pet Tivity","2023-08-28 16:57:46.863559+00","2023-08-28 16:57:46.863559+00","pettivity",NULL,NULL,NULL,NULL,NULL,NULL
"6b8bac10-3685-11ee-887c-0514ac501f84","Photo Booth by Sounds Elevated ","2023-08-09 07:21:55.799003+00","2023-08-09 07:21:55.799003+00","photoboothbysoundselevated",NULL,NULL,NULL,NULL,NULL,NULL
"4697db40-3707-11ee-a9f7-c35ab9c827e9","Prosperity Is Possible","2023-08-09 22:51:28.378364+00","2023-08-09 22:51:28.378364+00","prosperityispossible",NULL,NULL,NULL,NULL,NULL,NULL
"9b8ddfa0-37a2-11ee-a69e-63ac3d5e3ed9","Rabbi Pinchas Taylor","2023-08-10 17:23:22.917579+00","2023-08-10 17:23:22.917579+00","rabbipinchastaylor",NULL,NULL,NULL,NULL,NULL,NULL
"a96c2930-37aa-11ee-9264-191ea0a0b5aa","Pappy's Smokehouse","2023-08-10 18:21:02.147461+00","2023-08-10 18:21:02.147461+00","pappyssmokehouse",NULL,NULL,NULL,NULL,NULL,NULL
"d966b570-1b87-4054-a9f8-1164f5d593b4","Bellway Fiber Supplements","2023-07-19 21:16:28.9335+00","2023-07-19 21:16:28.933601+00","bellwayfibersupplements",NULL,NULL,NULL,NULL,NULL,NULL
"73b9deb0-260f-11ee-a6d1-7ba783a8d9e8","IrishIllustrated","2023-07-19 08:37:10.307191+00","2023-07-19 08:37:10.307191+00","irishillustrated",NULL,NULL,NULL,NULL,NULL,NULL
"802e0ea0-2790-11ee-a046-8d7ae7c093de","Delo®","2023-07-21 06:33:27.440621+00","2023-07-21 06:33:27.440621+00","delo",NULL,NULL,NULL,NULL,NULL,NULL
